

Log10(e[keV])   AllEner     error         FullPeak      error       FullPeak      error
               area(cm^2)    (cm^2)      area(cm^2)     (cm^2)      +EscPeak      (cm^2)
                                                                   area(cm^2)

  0.699000      72.3219      3.41436      69.9613      3.33980      69.9613      3.33980    
  0.751397      77.4358      3.36982      73.8119      3.26299      73.8119      3.26299    
  0.803794      77.7857      3.10276      75.5357      3.04200      75.5357      3.04200    
  0.856191      85.1105      3.11470      81.8149      3.03176      81.8149      3.03176    
  0.908587      86.1907      3.00169      84.4905      2.96094      84.4905      2.96094    
  0.960984      82.9639      2.71846      82.5118      2.70834      82.5118      2.70834    
   1.01338      85.6965      2.69908      85.0570      2.68525      85.0570      2.68525    
   1.06578      81.0764      2.44124      79.8537      2.41617      79.8537      2.41617    
   1.11817      82.5395      2.28988      81.8934      2.27764      81.8934      2.27764    
   1.17057      83.8759      2.16919      83.3796      2.16041      83.3796      2.16041    
   1.22297      85.4437      2.05595      85.0091      2.04877      85.0091      2.04877    
   1.27536      87.6594      1.97351      87.2727      1.96751      87.2727      1.96751    
   1.32776      86.3204      1.85272      85.8232      1.84538      85.8232      1.84538    
   1.38016      85.6680      1.75693      85.4421      1.75375      85.4421      1.75375    
   1.43256      85.2695      1.64963      85.0690      1.64697      85.0690      1.64697    
   1.48495      87.3793      1.55586      86.4483      1.54444      86.8966      1.54994    
   1.53735      86.3757      1.44911      75.4951      1.32239      84.4002      1.42629    
   1.58975      87.2955      1.37100      70.2707      1.18393      84.9093      1.34514    
   1.64214      87.7870      1.31350      72.8425      1.15727      85.7602      1.29256    
   1.69454      89.8048      1.25741      75.6434      1.11852      87.5494      1.23552    
   1.74694      89.4448      1.19109      77.7823      1.08263      87.5075      1.17322    
   1.79933      90.1976      1.12267      79.3547      1.02836      88.1012      1.10457    
   1.85173      90.2635      1.05512      81.1355     0.980662      88.0345      1.03704    
   1.90413      90.9586     0.995712      82.7419     0.932920      88.2731     0.975281    
   1.95652      89.9348     0.930865      82.7703     0.879237      87.8234     0.915713    
   2.00892      91.1565     0.892747      84.5390     0.847549      89.0363     0.878317    
   2.06132      91.3330     0.835182      84.6036     0.792250      89.1366     0.821220    
   2.11371      89.9316     0.784103      83.8380     0.747147      87.2635     0.767967    
   2.16611      89.0176     0.730396      82.5957     0.693794      85.1290     0.708279    
   2.21851      86.4648     0.676174      79.1498     0.636590      81.2709     0.648122    
   2.27090      82.0684     0.610456      73.8193     0.568303      75.1498     0.575150    
   2.32330      76.3423     0.553283      66.3684     0.504066      67.5581     0.510000    
   2.37570      70.0347     0.490888      58.0621     0.434283      58.9139     0.438378    
   2.42809      64.2853     0.436380      49.6343     0.369710      50.2609     0.372638    
   2.48049      59.7397     0.393162      43.1927     0.320444      43.7377     0.322928    
   2.53289      53.6716     0.345889      35.5786     0.268419      35.9001     0.269871    
   2.58528      49.0986     0.308102      29.6489     0.227044      29.8796     0.228077    
   2.63768      45.1992     0.275504      24.6011     0.191872      24.8312     0.192898    
   2.69008      41.7792     0.247300      20.7206     0.163991      20.9066     0.164819    
   2.74247      39.0813     0.223628      17.4784     0.140452      17.6213     0.141087    
   2.79487      36.6988     0.203246      14.4635     0.119487      14.6124     0.120157    
   2.84727      34.0019     0.181761      12.1441     0.101738      12.2526     0.102227    
   2.89966      32.5151     0.167419      10.6232     0.895644E-01  18.9791     0.122906    
   2.95206      30.3944     0.151471      8.96424     0.770402E-01  17.9696     0.112241    
   3.00446      29.2011     0.175393      7.79690     0.848454E-01  15.6271     0.123177    
   3.05686      26.3996     0.412449      6.64347     0.194540      13.3087     0.281372    
   3.10925      25.8263     0.383951      5.79833     0.170863      11.6547     0.246930    
   3.16165      24.0471     0.346458      5.01301     0.148959      10.0602     0.214562    
   3.21405      22.8942     0.317716      4.29885     0.129778      8.60530     0.186262    
   3.26644      20.7014     0.284541      3.56991     0.111847      7.16033     0.160318    
   3.31884      19.9789     0.262072      2.96453     0.955707E-01  5.95321     0.136803    
   3.37124      20.1673     0.247951      2.56169     0.834973E-01  5.15546     0.119496    
   3.42363      19.5599     0.229064      2.21531     0.728868E-01  4.44479     0.104026    
   3.47603      18.9468     0.212450      1.77258     0.614620E-01  3.56621     0.877127E-01
   3.52843      18.9428     0.200543      1.47100     0.528032E-01  2.94950     0.751492E-01
   3.58082      18.5074     0.186477      1.30531     0.468289E-01  2.62726     0.667385E-01
   3.63322      18.8334     0.176768      1.09749     0.402808E-01  2.20085     0.572582E-01
   3.68562      18.1683     0.163877     0.950287     0.354335E-01  1.91895     0.505201E-01
   3.73801      18.4171     0.155675     0.802670     0.306867E-01  1.61234     0.436135E-01
   3.79041      18.6243     0.147439     0.638723     0.257501E-01  1.28778     0.366451E-01
   3.84281      18.7624     0.139742     0.515654     0.218293E-01  1.04236     0.310928E-01
   3.89520      18.9652     0.132355     0.385245     0.177560E-01 0.777020     0.252512E-01
   3.94760      19.3474     0.126131     0.289957     0.145125E-01 0.588613     0.206984E-01
   4.00000      19.6280     0.119620     0.206583     0.115207E-01 0.418299     0.164056E-01
