Time (UTCG),Lat (deg),Lon (deg),Alt (m),Lat Rate (deg/sec),Lon Rate (deg/sec),Alt Rate (km/sec)
3/20/2018 12:00:00.0,0,2.030733,400000,0.051158,0.036042,0
3/20/2018 12:01:00.0,3.070934,4.193934,400060.886,0.051111,0.036156,0.002025
3/20/2018 12:02:00.0,6.136161,6.370899,400242.413,0.050968,0.036501,0.004012
3/20/2018 12:03:00.0,9.189863,8.575605,400541.207,0.050727,0.037081,0.005925
3/20/2018 12:04:00.0,12.226004,10.82246,400951.716,0.050382,0.037907,0.007727
3/20/2018 12:05:00.0,15.238204,13.126516,401466.316,0.049928,0.038989,0.009386
3/20/2018 12:06:00.0,18.219613,15.503691,402075.456,0.049355,0.040345,0.010871
3/20/2018 12:07:00.0,21.16276,17.970975,402767.838,0.048651,0.041994,0.012155
3/20/2018 12:08:00.0,24.059396,20.546631,403530.63,0.047803,0.043959,0.013213
3/20/2018 12:09:00.0,26.900301,23.250365,404349.711,0.046792,0.046264,0.014027
3/20/2018 12:10:00.0,29.675081,26.103435,405209.931,0.045597,0.048937,0.014581
3/20/2018 12:11:00.0,32.371937,29.128661,406095.398,0.044192,0.052002,0.014866
3/20/2018 12:12:00.0,34.977415,32.350284,406989.772,0.042548,0.055481,0.014877
3/20/2018 12:13:00.0,37.476158,35.793556,407876.565,0.040631,0.059386,0.014614
3/20/2018 12:14:00.0,39.850674,39.483976,408739.452,0.038404,0.063711,0.014082
3/20/2018 12:15:00.0,42.081159,43.446007,409562.562,0.035827,0.068424,0.013291
3/20/2018 12:16:00.0,44.145451,47.701129,410330.775,0.032862,0.073457,0.012257
3/20/2018 12:17:00.0,46.019177,52.265129,411029.991,0.029475,0.078687,0.010997
3/20/2018 12:18:00.0,47.676217,57.144634,411647.392,0.025642,0.083929,0.009536
3/20/2018 12:19:00.0,49.089582,62.333166,412171.667,0.02136,0.088933,0.0079
3/20/2018 12:20:00.0,50.232767,67.807339,412593.219,0.016649,0.093389,0.00612
3/20/2018 12:21:00.0,51.081569,73.524227,412904.335,0.011567,0.096961,0.004227
3/20/2018 12:22:00.0,51.61618,79.421128,413099.327,0.006202,0.099337,0.002258
3/20/2018 12:23:00.0,51.823237,85.418677,413174.63,0.000679,0.100285,0.000247
3/20/2018 12:24:00.0,51.697366,91.427425,413128.867,-0.004862,0.099707,-0.001769
3/20/2018 12:25:00.0,51.241846,97.356767,412962.876,-0.010278,0.097663,-0.003752
3/20/2018 12:26:00.0,50.468205,103.12415,412679.691,-0.015439,0.094356,-0.005666
3/20/2018 12:27:00.0,49.394852,108.662371,412284.488,-0.020247,0.090085,-0.007477
